,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
153,0.002046347,0.002096951,0.002071649,0.001998236,0.002105742,0.002051989,0.002064718,0.002246737,0.002155728
312,0.002447585,0.001173772,0.001810678,0.002423896,0.001179954,0.001801925,0.00248209,0.00155071,0.0020164
531,0.001776544,0.001103517,0.00144003,0.001755918,0.001121756,0.001438837,0.001822714,0.001361803,0.001592258
173,0.00225141,0.000829213,0.001540311,0.00222975,0.000855644,0.001542697,0.002228568,0.000899212,0.00156389
559,0.004226309,0.003255242,0.003740776,0.004353258,0.003091796,0.003722527,0.00411566,0.004178234,0.004146947
5,0.00208443,0.002393776,0.002239103,0.002060083,0.001625707,0.001842895,0.002104393,0.004056193,0.003080293
294,0.001650411,0.00101811,0.001334261,0.001570774,0.001022467,0.00129662,0.001680942,0.00125988,0.001470411
313,0.001970209,0.000931069,0.001450639,0.001909677,0.000927442,0.00141856,0.001996731,0.001200754,0.001598743
308,0.002130101,0.00100175,0.001565926,0.002063338,0.000985828,0.001524583,0.002186421,0.001556234,0.001871327
442,0.002919587,0.001491818,0.002205703,0.002986537,0.001557454,0.002271995,0.002925506,0.001715003,0.002320255
546,0.001746768,0.000954721,0.001350744,0.00169233,0.000938062,0.001315196,0.001803199,0.001152983,0.001478091
177,0.002470675,0.001043855,0.001757265,0.002436919,0.001056568,0.001746744,0.002472596,0.001312419,0.001892507
36,0.001723287,0.001097795,0.001410541,0.001662107,0.001090491,0.001376299,0.001764476,0.00129588,0.001530178
303,0.001947159,0.000871798,0.001409478,0.001896084,0.000882574,0.001389329,0.001990804,0.001142082,0.001566443
319,0.001878102,0.000848031,0.001363066,0.001832939,0.000868005,0.001350472,0.001900454,0.000969765,0.00143511
140,0.001844362,0.001652059,0.001748211,0.001831389,0.001655226,0.001743307,0.001897444,0.001851614,0.001874529
256,0.002101417,0.00189451,0.001997963,0.002081241,0.001923977,0.002002609,0.002124517,0.002094974,0.002109746
423,0.002455937,0.001659664,0.002057801,0.00243591,0.001697293,0.002066602,0.002451424,0.001758523,0.002104973
327,0.001645245,0.000890816,0.00126803,0.001580284,0.00089001,0.001235147,0.001682099,0.001170684,0.001426392
130,0.002560888,0.002458697,0.002509793,0.003952673,0.002442058,0.003197365,0.002560105,0.003192866,0.002876486
435,0.002735287,0.001515141,0.002125214,0.002804178,0.001614985,0.002209582,0.002774036,0.001766422,0.002270229
149,0.002199757,0.002119285,0.002159521,0.002163563,0.00213747,0.002150517,0.002219353,0.002255407,0.00223738
65,0.002115279,0.001916158,0.002015719,0.00208581,0.001942582,0.002014196,0.002145517,0.002044682,0.002095099
224,0.001919233,0.001639054,0.001779144,0.001891437,0.00167139,0.001781413,0.001958163,0.001806066,0.001882115
178,0.001819538,0.000776486,0.001298012,0.001775614,0.000794251,0.001284932,0.001825743,0.000826117,0.00132593
101,0.00216039,0.001621592,0.001890991,0.002133965,0.00162779,0.001880877,0.002225668,0.001900876,0.002063272
373,0.002146213,0.002907613,0.002526913,0.002173287,0.0029234,0.002548343,0.002151241,0.003116499,0.00263387
451,0.002519318,0.00110481,0.001812064,0.002485789,0.001137148,0.001811468,0.002518066,0.001297094,0.00190758
298,0.002244783,0.001361577,0.00180318,0.002213388,0.00137206,0.001792724,0.002293417,0.001674593,0.001984005
205,0.001789984,0.001240662,0.001515323,0.001690085,0.001161601,0.001425843,0.001891183,0.001910784,0.001900983
99,0.002117965,0.001595062,0.001856514,0.002086273,0.001612353,0.001849313,0.002144084,0.001927267,0.002035675
226,0.001493645,0.001712896,0.00160327,0.001490169,0.001721809,0.001605989,0.001516663,0.001966024,0.001741344
124,0.002233356,0.001301034,0.001767195,0.00221922,0.001298295,0.001758758,0.002281366,0.001609807,0.001945586
8,0.00213571,0.001294616,0.001715163,0.002101599,0.001309192,0.001705396,0.002173336,0.001528842,0.001851089
37,0.0019108,0.001252326,0.001581563,0.001855403,0.001258045,0.001556724,0.001980563,0.00174299,0.001861777
549,0.002484571,0.001127994,0.001806282,0.002456655,0.001157116,0.001806886,0.00250354,0.001260848,0.001882194
471,0.002020388,0.001022612,0.0015215,0.00196859,0.000988385,0.001478487,0.002082345,0.00139341,0.001737877
198,0.00187857,0.001209271,0.001543921,0.001803771,0.001162042,0.001482906,0.001950003,0.001666377,0.00180819
405,0.002649339,0.001159229,0.001904284,0.00261185,0.001207746,0.001909798,0.002642008,0.001516788,0.002079398
185,0.002359634,0.001953593,0.002156613,0.00242272,0.001961888,0.002192304,0.002394559,0.002238991,0.002316775
502,0.002129945,0.002648665,0.002389305,0.002229434,0.002639277,0.002434355,0.002133561,0.002991195,0.002562378
116,0.001914614,0.001709684,0.001812149,0.001881471,0.001689201,0.001785336,0.001944162,0.002088281,0.002016222
22,0.002184742,0.001579286,0.001882014,0.002186536,0.001610799,0.001898667,0.002212171,0.00172264,0.001967405
497,0.002156535,0.001762548,0.001959541,0.00215729,0.001785292,0.001971291,0.002186166,0.001972434,0.0020793
530,0.003128601,0.001968016,0.002548308,0.003266976,0.002040354,0.002653665,0.003141267,0.002469433,0.00280535
174,0.00188736,0.000702647,0.001295004,0.00183409,0.000717185,0.001275638,0.001882129,0.000756381,0.001319255
595,0.001995989,0.00093888,0.001467434,0.001956207,0.000960727,0.001458467,0.002015768,0.001072679,0.001544224
175,0.002100219,0.001337379,0.001718799,0.002151773,0.00130452,0.001728146,0.002175006,0.00184504,0.002010023
343,0.00203348,0.001647249,0.001840365,0.002020871,0.001668389,0.00184463,0.00205774,0.001770233,0.001913987
228,0.002317168,0.001674701,0.001995934,0.00233999,0.001718283,0.002029137,0.002318855,0.001828149,0.002073502
163,0.002568112,0.001077611,0.001822861,0.002526753,0.001030881,0.001778817,0.002596065,0.001644464,0.002120265
270,0.002640007,0.001184991,0.001912499,0.002624389,0.001218528,0.001921458,0.00263678,0.001401568,0.002019174
191,0.00249179,0.00253398,0.002512885,0.002547858,0.002573178,0.002560518,0.002509155,0.00280338,0.002656267
513,0.001956698,0.001452037,0.001704368,0.00199182,0.001465079,0.00172845,0.001977458,0.001644546,0.001811002
387,0.002014799,0.005564536,0.003789667,0.001977817,0.001741314,0.001859566,0.002040853,0.0117288,0.006884827
567,0.001851853,0.001618827,0.00173534,0.001920924,0.001633506,0.001777215,0.001886271,0.001864488,0.001875379
76,0.001691007,0.001478353,0.00158468,0.001630751,0.001502768,0.001566759,0.001712447,0.001615721,0.001664084
115,0.002211554,0.002178835,0.002195194,0.002216646,0.002206999,0.002211823,0.002227704,0.002367156,0.00229743
518,0.002040614,0.001395825,0.00171822,0.001999739,0.00123224,0.00161599,0.002073305,0.001867593,0.001970449
472,0.002173567,0.000957444,0.001565505,0.002146957,0.000949686,0.001548322,0.002210464,0.001289362,0.001749913
494,0.002226675,0.001028766,0.00162772,0.002188142,0.001058676,0.001623409,0.002236209,0.001154286,0.001695247
77,0.001724517,0.001712021,0.001718269,0.001681442,0.001740053,0.001710748,0.001749938,0.001818871,0.001784405
431,0.002457665,0.001461924,0.001959794,0.002670418,0.001465852,0.002068135,0.002563481,0.001968247,0.002265864
331,0.001895841,0.000873809,0.001384825,0.001850388,0.000875472,0.00136293,0.001944781,0.00115737,0.001551076
565,0.001807781,0.001089322,0.001448551,0.001764229,0.001044627,0.001404428,0.001889203,0.001662752,0.001775977
424,0.002765504,0.001411028,0.002088266,0.00274948,0.001452596,0.002101038,0.002740153,0.00159329,0.002166721
13,0.002360018,0.001449746,0.001904882,0.002312764,0.001451541,0.001882153,0.002407773,0.001686173,0.002046973
335,0.001724848,0.001091562,0.001408205,0.001666982,0.001099272,0.001383127,0.001777015,0.001498352,0.001637683
592,0.002053669,0.001455134,0.001754402,0.002045554,0.00148405,0.001764802,0.00206662,0.001558684,0.001812652
89,0.001920576,0.001612378,0.001766477,0.002158913,0.001581396,0.001870155,0.001971315,0.002022335,0.001996825
536,0.001768304,0.000959359,0.001363832,0.001725741,0.00098621,0.001355975,0.001811367,0.001114764,0.001463066
42,0.001740326,0.00093467,0.001337498,0.001682165,0.00094569,0.001313928,0.001794898,0.001151984,0.001473441
135,0.002272379,0.001154947,0.001713663,0.002215069,0.00113225,0.001673659,0.002358303,0.00176904,0.002063671
384,0.0019555,0.003673046,0.002814273,0.001891637,0.003694425,0.002793031,0.001979999,0.003784651,0.002882325
