,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
58,0.001864454,0.001499516,0.001681985,0.001674421,0.001467098,0.001570759,0.001759098,0.001686544,0.001722821
47,0.002095643,0.001400044,0.001747844,0.00203762,0.001416431,0.001727026,0.002083251,0.001607077,0.001845164
146,0.002199138,0.002099959,0.002149549,0.002084476,0.002097004,0.00209074,0.002141072,0.002196628,0.00216885
52,0.002010744,0.001619767,0.001815255,0.001989966,0.001639552,0.001814759,0.002032062,0.001692027,0.001862045
543,0.002124264,0.001169655,0.00164696,0.002080026,0.00119862,0.001639323,0.002127376,0.001315846,0.001721611
365,0.0024586,0.002056336,0.002257468,0.002283292,0.00203877,0.002161031,0.002301498,0.002258102,0.0022798
377,0.002370996,0.001287979,0.001829488,0.002204217,0.00131366,0.001758939,0.002252984,0.001461977,0.001857481
152,0.001980944,0.00185302,0.001916982,0.0018946,0.001867333,0.001880967,0.001954977,0.001947142,0.00195106
251,0.002194978,0.000820839,0.001507909,0.001894725,0.000871347,0.001383036,0.001896458,0.001125953,0.001511206
525,0.002115934,0.001357126,0.00173653,0.001870576,0.001352231,0.001611404,0.001891001,0.001607485,0.001749243
456,0.002692522,0.001552794,0.002122658,0.002658831,0.001625102,0.002141966,0.002621363,0.001786062,0.002203712
499,0.002280117,0.00172806,0.002004088,0.001955008,0.00168309,0.001819049,0.001990508,0.001965609,0.001978059
596,0.002099183,0.001255626,0.001677404,0.002083249,0.00127525,0.001679249,0.002073843,0.001362897,0.00171837
153,0.002155174,0.002104361,0.002129768,0.002002436,0.002109833,0.002056135,0.00206497,0.00224756,0.002156265
312,0.002560705,0.001208103,0.001884404,0.002424714,0.001180626,0.00180267,0.002481927,0.001551126,0.002016526
531,0.001957329,0.001131797,0.001544563,0.001755395,0.001121278,0.001438337,0.001821283,0.001359633,0.001590458
173,0.002207797,0.000826945,0.001517371,0.002227256,0.000854542,0.001540899,0.002226419,0.000898885,0.001562652
5,0.002137747,0.001598274,0.00186801,0.00205994,0.001626942,0.001843441,0.002106033,0.004061486,0.00308376
294,0.001704508,0.001031787,0.001368147,0.001571963,0.001024132,0.001298048,0.001683323,0.001262751,0.001473037
313,0.002079985,0.000955904,0.001517945,0.001910085,0.000926146,0.001418116,0.002001222,0.001201691,0.001601457
308,0.002319421,0.001035422,0.001677422,0.002064904,0.000985951,0.001525428,0.002189048,0.001552596,0.001870822
